latex_pred,latex_true,pron,cer,wer,rouge1,chrf,chrfpp,bleu,sbleu,meteor,cer_lower,wer_lower,rouge1_lower,chrf_lower,chrfpp_lower,bleu_lower,sbleu_lower,meteor_lower
 f(x) = ax + b,f(x) = ax + b,линейная функция f от икс равно а икс плюс b,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 f(x) = ax + b,f(x) = ax + b,линейная функция f от икс равно а умножить на икс плюс b,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 a_n > 0,a_n > 0,a энное больше нуля,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9814814814814815
 \mathbf{A} \mathbf{r} = \mathbf{p} r^2,A(r) = \pi r^2,A от r равно пи r в квадрате,1.9285714285714286,0.75,0.6153846153846154,0.1320378354517639,0.14321293772655797,0.0,0.10307386760781874,0.25974025974025977,1.9285714285714286,0.75,0.6153846153846154,0.1320378354517639,0.14321293772655797,0.0,0.10307386760781874,0.25974025974025977
 \mathbf{A} \mathbf{r} = \pi r^2,A(r) = \pi r^2,A от r равно пи r во второй степени,1.3571428571428572,0.5,0.8333333333333333,0.3960331431678241,0.45652290472664553,0.3237722713145643,0.3237722713145643,0.6027027027027028,1.3571428571428572,0.5,0.8333333333333333,0.3960331431678241,0.45652290472664553,0.3237722713145643,0.3237722713145643,0.6027027027027028
 \mathbf{A} \mathbf{r} = \pi \mathbf{r}^2,A(r) = \pi r^2,A от r равно пи умножить на r в квадрате,2.0,0.75,0.7692307692307693,0.17504247911987758,0.24159174801045075,0.0,0.10079037376973914,0.40464743589743596,2.0,0.75,0.7692307692307693,0.17504247911987758,0.24159174801045075,0.0,0.10079037376973914,0.40464743589743596
 f(-4) = \sqrt{-4} + 5,f(-4) = \sqrt{-4} + 5 \text{ which is not defined},f от минус 4 равно корень из минус 4 плюс 5 что не определено,0.58,0.5,0.6666666666666666,0.4289815609411552,0.45633887500074116,0.513417119032592,0.5134171190325922,0.6059809869583911,0.58,0.5,0.6666666666666666,0.4289815609411552,0.45633887500074116,0.513417119032592,0.5134171190325922,0.6059809869583911
 f(-4) = \sqrt{(-4)} + 5,f(-4) = \sqrt{-4} + 5 \text{ which is not defined},f от минус 4 это корень из минус 4 плюс 5 что не определено,0.62,0.6,0.6666666666666666,0.31850208042435535,0.3415982869747616,0.4102847866453379,0.41028478664533785,0.45643447461629283,0.62,0.6,0.6666666666666666,0.31850208042435535,0.3415982869747616,0.4102847866453379,0.41028478664533785,0.45643447461629283
 f(-4) = \sqrt{-4} + 5,f(-4) = \sqrt{-4} + 5 \text{ which is not defined},f от минус 4 равно корень из минус 4 плюс 5 не определено,0.58,0.5,0.6666666666666666,0.4289815609411552,0.45633887500074116,0.513417119032592,0.5134171190325922,0.6059809869583911,0.58,0.5,0.6666666666666666,0.4289815609411552,0.45633887500074116,0.513417119032592,0.5134171190325922,0.6059809869583911
 f(x) = \sqrt{x - 1},f(x) = \sqrt{x-1},f от икс равно корень из икс минус 1,0.11764705882352941,1.0,1.0,1.0,0.8988749481542929,0.6315552371794037,0.6315552371794033,0.8152173913043477,0.11764705882352941,1.0,1.0,1.0,0.8988749481542929,0.6315552371794037,0.6315552371794033,0.8152173913043477
 f(x) = \sqrt{x - 1},f(x) = \sqrt{x-1},f от икс это корень из икс минус 1,0.11764705882352941,1.0,1.0,1.0,0.8988749481542929,0.6315552371794037,0.6315552371794033,0.8152173913043477,0.11764705882352941,1.0,1.0,1.0,0.8988749481542929,0.6315552371794037,0.6315552371794033,0.8152173913043477
 4 \leq x \leq 5,4 \le x \le 5,4 меньше или равно икс меньше или равно 5,0.15384615384615385,0.4,0.6,0.42086034068424155,0.4474458767676168,0.0,0.1964073254502566,0.3,0.15384615384615385,0.4,0.6,0.42086034068424155,0.4474458767676168,0.0,0.1964073254502566,0.3
 \sqrt{x} + \sqrt{1-x},\sqrt{x} + \sqrt{1-x},f от икс равно корень из икс плюс корень из 1 минус икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \sqrt{x} + \sqrt{1-x},\sqrt{x} + \sqrt{1-x},f от икс это корень из икс плюс корень из 1 минус икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9993141289437586
 \frac{2}{1}-\cos(x),\frac{2}{1-\cos x},g от икс равно 2 делить на 1 минус косинус икс,0.16666666666666666,1.0,1.0,0.672454493096709,0.5043408698225318,0.5564924657670628,0.556492465767063,0.8101794934841405,0.16666666666666666,1.0,1.0,0.672454493096709,0.5043408698225318,0.5564924657670628,0.556492465767063,0.8101794934841405
 \frac{2}{1-\cos x},\frac{2}{1-\cos x},g от икс это 2 делить на 1 минус косинус икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 y = f(x) + c,y = f(x) + c,Вертикальный сдвиг на c единиц вверх y равен f от икс плюс c,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 y = f(x + c),y = f(x) + c,Вертикальный сдвиг на c единиц вверх y это f от икс плюс c,0.16666666666666666,0.4,1.0,0.47738095238095246,0.5580357142857143,0.6147881529512644,0.6147881529512649,0.9736328125,0.16666666666666666,0.4,1.0,0.47738095238095246,0.5580357142857143,0.6147881529512644,0.6147881529512649,0.9736328125
 g(2x - 3) = \cos(2x - 3),g(2x - 3) = \cos (2x - 3),g от 2 икс минус 3 это косинус 2 икс минус 3,0.04,0.25,1.0,1.0,0.9303579003884243,1.0,1.0000000000000004,0.9997724169321802,0.04,0.25,1.0,1.0,0.9303579003884243,1.0,1.0000000000000004,0.9997724169321802
 f(x) = x - 4,f(x) = x - 4,эф от икс равно икс минус четыре,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 f(x) = x - 4,f(x) = x - 4,эф от икс равно икс минус 4,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 f(x) = |x|,f(x) = |x|,эф от икс равно модуль икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
" F(b, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(y,\delta) d\epsilon d\zeta","F(b, \beta) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(y,\delta) d\epsilon d\zeta","Функция Ф при б, бета является двойным интегралом по диапазону от дзета до эта функции ф при и, дельта, интегрированная сначала по эфлон и затем по дзета.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999915709974881,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999915709974881
" F(c, z) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta","F(c, z) = \int_{{\zeta}}^{{\eta}} \int_{{\zeta}}^{{\eta}} f(\delta,\delta) d\epsilon d\zeta","Функция Ф при цэ, з является двойным интегралом по диапазону от дзета до эта функции ф при дельта, дельта, интегрированная сначала по эпсилон и затем по дзета.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999915709974881,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999915709974881
 g \circ f(-1),g \circ f(-1),жэ составленная с эф от минус один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
 g \circ f(-1),g \circ f(-1),жэ от эф от минус один,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
 t = \frac{{\bar \gamma} - 310}{\sigma/\sqrt{n}},t = \frac{{\bar \gamma} - 310}{\sigma/\sqrt{n}},"Т равно среднему значению гамма минус 310, деленному на стандартное отклонение, деленное на квадратный корень из размера выборки.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.999898229187869,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.999898229187869
" (3,1) \text{ and } (5,8)"," (3,1) \text{ to } (5,8)","отрезок линии от три, один до пять, восемь",0.13043478260869565,0.2,0.8333333333333334,0.7049175607852277,0.7274293813596724,0.7016879391277371,0.7016879391277372,0.8950617283950617,0.13043478260869565,0.2,0.8333333333333334,0.7049175607852277,0.7274293813596724,0.7016879391277371,0.7016879391277372,0.8950617283950617
 The inner product of x and x equals x times delta.,The inner product of x and x equals x times delta.,Внутреннее произведениеиксииксравно произведениюикси дельта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 The inner product of a and eta equals alpha times delta.,The inner product of a and eta equals alpha times delta.,Внутреннее произведение а и эта равно произведению альфа и дельта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 The inner product of b and zeta equals c times delta.,The inner product of b and zeta equals c times delta.,Внутреннее произведение б и дзета равно произведению цэ и дельта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 The inner product of z and zeta equals i times delta.,The inner product of z and zeta equals y times delta.,Внутреннее произведение з и дзета равно произведению и и дельта.,0.018867924528301886,0.09090909090909091,0.9090909090909091,0.9116424236121522,0.9005878783151747,0.7348889200874658,0.7348889200874659,0.9139118457300276,0.018867924528301886,0.09090909090909091,0.9090909090909091,0.9116424236121522,0.9005878783151747,0.7348889200874658,0.7348889200874659,0.9139118457300276
 The inner product of c and c equals delta times delta.,The inner product of c and c equals delta times delta.,Внутреннее произведение цэ и цэ равно произведению дельта и дельта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 The inner product of eta and y equals y times delta.,The inner product of eta and y equals a times delta.,Внутреннее произведение эта и и равно произведению а и дельта.,0.019230769230769232,0.09090909090909091,0.9090909090909091,0.9093507960484853,0.8988691576424247,0.7348889200874658,0.7348889200874659,0.8946280991735537,0.019230769230769232,0.09090909090909091,0.9090909090909091,0.9093507960484853,0.8988691576424247,0.7348889200874658,0.7348889200874659,0.8946280991735537
 x + y^2 = 0,x + y^2 = 0,икс плюс игрек в квадрате равно нулю,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 x + y^2 = 0,x + y^2 = 0,икс плюс игрек в квадрате равно 0,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 x^2 + y^2 = 36,x^2 + y^2 = 36,икс в квадрате плюс игрек в квадрате равно тридцать шесть,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 x^2 + y^2 = 36,x^2 + y^2 = 36,икс в квадрате плюс игрек в квадрате равно 36,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.996
 \lim_{\theta \to 0} \frac{\sin \theta}{\theta} = 1,\lim_{\theta \to 0} \frac{\sin \theta}{\theta} = 1,"предел, когда тета стремится к 0 от синус тета делённое на тета равен 1",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998779296875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998779296875
 \lim_{{x \to c}} h(x) = L,\lim_{{x \to c}} h(x) = L,"предел, когда икс стремится к c от h от икс равен L",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998177842565598,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998177842565598
 \lim_{y \to 0} \frac{\sin(y)}{y},\lim_{{y \to 0}} \frac{{\sin y}}{{y}},предел при y стремящемся к 0 от синус y делить на y,0.1891891891891892,0.8,1.0,0.525328319263927,0.4737164057693592,0.47143225081577383,0.4714322508157738,0.5410506039150355,0.1891891891891892,0.8,1.0,0.525328319263927,0.4737164057693592,0.47143225081577383,0.4714322508157738,0.5410506039150355
 \mathrm{e}^d,\ker(D),Ядро Д.,1.4285714285714286,1.0,0.4,0.06249999999999999,0.046875,0.0,0.06567274736060395,0.0,1.4285714285714286,1.0,0.4,0.08333333333333331,0.06249999999999999,0.0,0.07809849842300637,0.0
 \delta = y + i \delta,\delta = y + i \delta,Дельта равно игрек плюс и умноженное на дельта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
 \epsilon = \alpha + i c,\epsilon = \alpha + i c,Эпсилон равно альфа плюс и умноженное на цэ.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
 \psi(a) = O(\psi(\eta)),\psi(a) = O(\psi(\eta)),Пси от а равно большая О от пси от эта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 h(\alpha) = O(g(c)),h(\alpha) = O(g(c)),H от альфа равно большая О от g от цэ.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 g(\zeta) = O(g(\alpha)),g(z) = O(g(\alpha)),G от з равно большая О от g от альфа.,0.21052631578947367,0.3333333333333333,0.8000000000000002,0.786580394685188,0.7852256132637099,0.7272454093000141,0.7272454093000138,0.9139118457300276,0.21052631578947367,0.3333333333333333,0.8000000000000002,0.786580394685188,0.7852256132637099,0.7272454093000141,0.7272454093000138,0.9139118457300276
 f(b) = o(f(c)),f(b) = o(f(c)),Ф от бэ равно маленькая о от ф от цэ.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \phi(c) = o(g(c)),\phi(c) = o(g(c)),Фи от цэ равно маленькая о от g от цэ.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 h(\eta) = o(h(\eta)),h(\eta) = o(h(\eta)),H от эта равно маленькая о от h от эта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 h(\zeta) = \Theta(h(\beta)),h(z) = \Theta(h(\beta)),H от з равно Тета от h от бета.,0.17391304347826086,0.3333333333333333,0.8000000000000002,0.8325363549594114,0.8191430853881514,0.7487402156832422,0.7487402156832427,0.9139118457300276,0.17391304347826086,0.3333333333333333,0.8000000000000002,0.8325363549594114,0.8191430853881514,0.7487402156832422,0.7487402156832427,0.9139118457300276
 h(\gamma) = \Theta(f(\epsilon)),h(\gamma) = \Theta(f(\epsilon)),H от гамма равно Тета от ф от эпсилон.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \phi(\eta) = \Theta(\phi(\epsilon)),\phi(\eta) = \Theta(\phi(\epsilon)),Фи от эта равно Тета от фи от эпсилон.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 g(\delta) = \Theta(\phi(\delta)),g(\delta) = \Theta(\phi(\delta)),G от дельта равно Тета от фи от дельта.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 f(y) = \eta(\phi(z)),f(y) = \Theta(\phi(z)),Ф от игрек равно Тета от фи от з.,0.09090909090909091,0.3333333333333333,0.8000000000000002,0.7476670903477938,0.7235270672897438,0.7825422900366437,0.7825422900366432,0.9139118457300276,0.09090909090909091,0.3333333333333333,0.8000000000000002,0.7476670903477938,0.7235270672897438,0.7825422900366437,0.7825422900366432,0.9139118457300276
" \psi(\eta, \epsilon) = 176 \epsilon^2 + 95\delta\epsilon + 34\zeta^2","\psi(\eta, \epsilon) = 176 \epsilon^2 + 95\delta\epsilon + 304\zeta^2","Пси от эта, эпсилон равно 176 эпсилон в квадрате плюс 95 дельта эпсилон плюс 304 дзета в квадрате.",0.014492753623188406,0.1111111111111111,0.9166666666666666,0.9424882191492142,0.935094001520727,0.8985396083419646,0.8985396083419644,0.9228098290598291,0.014492753623188406,0.1111111111111111,0.9166666666666666,0.9424882191492142,0.935094001520727,0.8985396083419646,0.8985396083419644,0.9228098290598291
" \omega(c, x) = 652 \delta^2 + 731\delta\epsilon + 54\zeta^2","\omega(c, x) = 652 \delta^2 + 731\delta\epsilon + 54\zeta^2","Омега от цэ,иксравно 652 дельта в квадрате плюс 731 дельта эпсилон  плюс 54 дзета в квадрате.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802
" \phi(\zeta, y) = 720 \zeta^2 + 740\delta\epsilon + 781\zeta^2","f(\zeta, y) = 720 \zeta^2 + 740\delta\epsilon + 781\zeta^2","Ф от дзета, игрек равно 26 дзета в квадрате плюс 740 дельта эпсилон  плюс 781 дзета в квадрате.",0.06896551724137931,0.1111111111111111,0.9166666666666666,0.9666946757596064,0.9533480483558427,0.9181891462193902,0.9181891462193897,0.9228098290598291,0.06896551724137931,0.1111111111111111,0.9166666666666666,0.9666946757596064,0.9533480483558427,0.9181891462193902,0.9181891462193897,0.9228098290598291
 \lim_{{x \to c}} \tan x = \tan c,\lim_{{x \to c}} \tan x = \tan c,предел при икс стремящемся к c от тангенс икс равен тангенс c,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997724169321802
 e^{c\pi} + 815 = 0,e^{c\pi} + 815 = 0,E в степени цэ пи плюс 815 равно нулю.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 \frac{d}{d \alpha} h(z) = h'(a),\frac{d}{d \alpha} h(z) = h'(a),Производная h от з по отношению к альфа равна h-прайм от а.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999142661179699,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999142661179699
 \det(C) = 679,\det(C) = 6779,Определитель матрицы C равен шесть тысяч семьсот семьдесят девять.,0.07142857142857142,0.3333333333333333,0.6666666666666666,0.8291360088975661,0.7992057693776442,0.8091067115702212,0.8091067115702206,0.8300000000000002,0.07142857142857142,0.3333333333333333,0.6666666666666666,0.8291360088975661,0.7992057693776442,0.8091067115702212,0.8091067115702206,0.8300000000000002
 \lim_{x \to {infinity}} h(\beta),\lim_{x \to {infinity}} h(\beta),"Предел функции h от бета при икс, стремящемся к бесконечности.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \lim_{\alpha \to {infinity}} \phi(y),\lim_{\alpha \to {infinity}} \phi(y),"Предел функции фи от игрек при альфа, стремящемся к бесконечности.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \lim_{y \to {infinity}} g(z),\lim_{y \to {infinity}} g(z),"Предел функции g от зетта при игрек, стремящемся к бесконечности.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \lim_{c \to {infinity}} f(\delta),\lim_{c \to {infinity}} f(\delta),"Предел функции f от дельта при цэ, стремящемся к бесконечности.",0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \nabla \cdot \vec{F} = 192,\nabla \cdot \vec{F} = 192,Дивергенция вектора F равна сто девяносто два.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 \nabla \cdot \vec{F} = 699,\nabla \cdot \vec{F} = 699,Скалярный результат применения оператора дивергенции к вектору F равен шестьсот девяносто девять.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9990234375
 \frac{\partial h}{\partial \zeta} = h',\frac{\partial h}{\partial \zeta} = h',Производная функции h по переменной зета обозначается как h штрих.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \frac{\partial g}{\partial \eta} = g',\frac{\partial g}{\partial \eta} = g',Производная функции g по переменной эта обозначается как g штрих.,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 4x^2 + 3,4(2^2) + 3,4 умножить на 2 в квадрате плюс 3,0.3,0.3333333333333333,0.5714285714285715,0.16016500305561213,0.23061181655997479,0.0,0.16581659750776068,0.3289473684210526,0.3,0.3333333333333333,0.5714285714285715,0.16016500305561213,0.23061181655997479,0.0,0.16581659750776068,0.3289473684210526
 4(2^2) + 3,4(2^2) + 3,4 умножить на 2 в степени 2 плюс 3,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
 4(2^2) + 3,4(2^2) + 3,4 умножить на 2 возведённое в квадрат плюс 3,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9976851851851852
 \lim_{{x \to 0}} (x^2 + 4) = 0^2 + 4 = 4,\lim_{{x \to 0}} (x^2 + 4) = 0^2 + 4 = 4,предел при икс стремящемся к 0 от икс в квадрате плюс 4 равен 0 в квадрате плюс 4 равен 4,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999271030762502,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999271030762502
 \lim_{{x \to c}} g(x),\lim_{{x \to c}} g(x),предел при икс стремящемся к c от g от икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9997106481481481
 \lim_{h\to 0} \frac{\cos(x+h) - \cos(x)}{h},\lim_{h\to 0} \cos(x+h) - \cos(x),предел аш стремится к нулю косинус от икс плюс аш минус косинус икс,0.30303030303030304,0.4,0.9,0.8678107062493784,0.7989541119716315,0.7152993643825747,0.7152993643825751,0.9370631814369583,0.30303030303030304,0.4,0.9,0.8678107062493784,0.7989541119716315,0.7152993643825747,0.7152993643825751,0.9370631814369583
 \lim_{x\to a} [f(x) + g(x)],\lim_{x\to a} [f(x) + g(x)],предел икс стремится к а функция от икс плюс функция от икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998779296875,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9998779296875
 \ln{x},\ln x,натуральный логарифм икс,0.4,1.0,1.0,0.47972720478325853,0.3198181365221724,0.0,0.23643540225079385,0.45454545454545453,0.4,1.0,1.0,0.47972720478325853,0.3198181365221724,0.0,0.23643540225079385,0.45454545454545453
 \ln{x},\ln x,логарифм по основанию е от икс,0.4,1.0,1.0,0.47972720478325853,0.3198181365221724,0.0,0.23643540225079385,0.45454545454545453,0.4,1.0,1.0,0.47972720478325853,0.3198181365221724,0.0,0.23643540225079385,0.45454545454545453
 \lim_{x\to a} f(x),\lim_{{x \to a}} f(x),предел при икс стремится к а от ф от икс,0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411,0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411
 \frac{d}{dx} \sin(x),\frac{d}{dx} \sin(x),производная синус икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \frac{d}{dx} \csc(x),\frac{d}{dx} \csc(x),производная косеканс икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \frac{d}{dx} \log_a(x),\frac{d}{dx} \log_a(x),производная логарифм по основанию а от икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \frac{d}{dx} \text{arccot}(x),\frac{d}{dx} \text{arccoth}(x),производная гиперболический арккотангенс икс,0.03333333333333333,0.5,0.8333333333333334,0.8767476404229504,0.7930034560392178,0.8153551038173115,0.8153551038173119,0.9268808114961962,0.03333333333333333,0.5,0.8333333333333334,0.8767476404229504,0.7930034560392178,0.8153551038173115,0.8153551038173119,0.9268808114961962
 \lim_{x\to a} f(x),\lim_{{x \to a}} f(x),"предел, когда икс стремится к а, эф от икс",0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411,0.14285714285714285,0.75,1.0,0.6462940002761941,0.5887606620007775,0.7176880797428425,0.7176880797428425,0.6410256410256411
 \frac{d}{dx} \sin(x),\frac{d}{dx} \sin(x),производная синус икс по икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
 \frac{d}{dx} \csc(x),\frac{d}{dx} \csc(x),производная косеканс икс по икс,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000004,0.9996243425995492
